0;START;{}
0;MAP;{name: Tutorial}
0;Human;{id: Victim1 , breath: 30 , pulse: 140 , throat: 1 , pos_x: 1630 , pos_y: 620}
0;Human;{id: Victim2 , breath: 0 , pulse: 82 , throat: 1 , pos_x: 1382 , pos_y: -353}
0;Human;{id: Victim5 , breath: 22 , pulse: 161 , throat: 1 , pos_x: 1346 , pos_y: 136}
0;Human;{id: Victim3 , breath: 0 , pulse: 0 , throat: 0 , pos_x: 895 , pos_y: 118}
0;Human;{id: Victim4 , breath: 15 , pulse: 103 , throat: 1 , pos_x: 933 , pos_y: 873}
0;Human;{id: Victim6 , breath: 30 , pulse: 140 , throat: 1 , pos_x: 2380 , pos_y: 140}
219;POSITION;{x: 2320, y: -320}
321;POSITION;{x: 2320, y: -320}
439;POSITION;{x: 2320, y: -320}
547;POSITION;{x: 2320, y: -320}
655;POSITION;{x: 2320, y: -320}
762;POSITION;{x: 2320, y: -320}
871;POSITION;{x: 2320, y: -320}
975;POSITION;{x: 2320, y: -320}
1081;POSITION;{x: 2320, y: -320}
1185;POSITION;{x: 2320, y: -320}
1293;POSITION;{x: 2320, y: -320}
1398;POSITION;{x: 2320, y: -320}
1503;POSITION;{x: 2320, y: -320}
1609;POSITION;{x: 2320, y: -320}
1714;POSITION;{x: 2320, y: -320}
1821;POSITION;{x: 2320, y: -320}
1922;POSITION;{x: 2320, y: -320}
2026;POSITION;{x: 2320, y: -320}
2128;POSITION;{x: 2320, y: -320}
2230;POSITION;{x: 2315, y: -318}
2337;POSITION;{x: 2290, y: -312}
2443;POSITION;{x: 2243, y: -301}
2549;POSITION;{x: 2192, y: -290}
2656;POSITION;{x: 2139, y: -279}
2762;POSITION;{x: 2087, y: -268}
2872;POSITION;{x: 2034, y: -256}
2982;POSITION;{x: 1980, y: -243}
3090;POSITION;{x: 1928, y: -230}
3201;POSITION;{x: 1875, y: -215}
3313;POSITION;{x: 1821, y: -198}
3427;POSITION;{x: 1769, y: -175}
3528;POSITION;{x: 1727, y: -147}
3630;POSITION;{x: 1692, y: -111}
3743;POSITION;{x: 1663, y: -62}
3856;POSITION;{x: 1646, y: -8}
3959;POSITION;{x: 1642, y: 42}
4062;POSITION;{x: 1652, y: 92}
4163;POSITION;{x: 1677, y: 135}
4276;POSITION;{x: 1720, y: 172}
4387;POSITION;{x: 1771, y: 194}
4497;POSITION;{x: 1825, y: 206}
4609;POSITION;{x: 1880, y: 211}
4719;POSITION;{x: 1935, y: 212}
4831;POSITION;{x: 1991, y: 208}
4945;POSITION;{x: 2048, y: 201}
5047;POSITION;{x: 2098, y: 193}
5149;POSITION;{x: 2149, y: 185}
5253;POSITION;{x: 2176, y: 181}
5367;POSITION;{x: 2176, y: 181}
5480;POSITION;{x: 2176, y: 181}
5592;POSITION;{x: 2176, y: 181}
5705;POSITION;{x: 2176, y: 181}
5817;POSITION;{x: 2176, y: 181}
5930;POSITION;{x: 2176, y: 181}
6031;POSITION;{x: 2176, y: 181}
6144;POSITION;{x: 2176, y: 181}
6257;POSITION;{x: 2176, y: 181}
6369;POSITION;{x: 2176, y: 181}
6481;POSITION;{x: 2176, y: 181}
6593;POSITION;{x: 2176, y: 181}
6706;POSITION;{x: 2176, y: 181}
6818;POSITION;{x: 2176, y: 181}
6930;POSITION;{x: 2176, y: 181}
7031;POSITION;{x: 2176, y: 181}
